ScenarioID;Reasoning;Description of the classification;ThreatID;VulnerabilityID;RemdiationID;Remediation strategy
S1;Reasoning;Destruction of the CED area;M13;V38;Remediation ID;Remediation Strategy  
S1;Inadequate supervision leading to network worm;Destruction of the CED area;M13;V38;3;Access control measures are not in place.  
S1;Recovering files during system failure requires backup procedures;Destruction of the CED area;M13;V38;5;Backup management is inadequate.  
S1;Critical files with passwords need protection;Destruction of the CED area;M13;V38;9;Security policy does not address critical files.  
S1;Untrained staff causing network issues;Destruction of the CED area;M13;V38;7;NTH 4: Test to assess computer literacy
S1;Unauthorized software causing network worm;Destruction of the CED area;M13;V38;10;NTH 4.1: Motivate staff to follow safety policy
S1;Hardware/software inventory lacking;Destruction of the CED area;M13;V38;6;Remedy to ensure proper asset management.  
S1;Access granted without need-to-know criteria;Destruction of the CED area;M13;V38;8;Remedy to implement role-based access control.  
S1;Changes in system configuration not recorded;Destruction of the CED area;M13;V38;14;Remedy to implement configuration management plan.  
S1;System configurations not controlled post-change;Destruction of the CED area;M13;V38;14;Remedy to implement configuration control measures.  
S1;Ensuring systems remain safe over their life cycle;Destruction of the CED area;M13;V38;14;Remedy to ensure proper lifecycle management of configurations.
S2;Reasoning: Network worm incident with insufficient supervision leading to file recovery efforts;Sabotage;M25;V32; remediation involves restarting system and recovering files.  ;error
S2;Reasoning: Inadequate supervision leading to network worm;Sabotage;M25;V32; recover damaged files using backups.  ;error
S2;Reasoning: Network worm incident with insufficient supervision;Sabotage;M25;V32; critical files related to passwords need protection.  ;error
S2;Reasoning: Untrained staff leading to network worm;Sabotage;M25;V32; test to assess computer literacy.  ;error
S2;Reasoning: Untrained staff leading to network worm;Sabotage;M25;V32; internal course on using procedures based on tests.  ;error
S2;Reasoning: Untrained staff leading to network worm;Sabotage;M25;V32; final exams for knowledge evaluation.  ;error
S2;Reasoning: Untrained staff leading to network worm;Sabotage;M25;V32; periodic knowledge checks.  ;error
S2;Reasoning: Unauthorized software applications leading to network worm;Sabotage;M25;V32; motivate staff to follow safety policy.  ;error
