Scenario ID,User,Assistant - Extended,Assistant - Short,Assistant - Details,Threat ID,Description of the classification?,Vulnerability ID,Reasoning,Assistant - Risk occurrence type
S1,The processing center is located in the basement. A sewer system runs under the building. The walls of the room that houses the processing center are not reinforced.,The described scenario presents at least one security threat.,Yes,The system is vulnerable to flooding,M3,Flooding,V27,Inadequate flood protection,Real
S1,The processing center is located in the basement. A sewer system runs under the building. The walls of the room that houses the processing center are not reinforced.,The described scenario presents at least one security threat.,Yes,The system is vulnerable to explosions or collapses,M13,Destruction of the CED area,V38,System not protected from explosions,Real
S2,"Confidential documents are stored in an archive constantly protected by armed guards, with three levels of biometric protection. The room that houses the archive is reinforced and burglar-proof.",The scenario is not sufficiently characterized to perform a preliminary analysis.,More,Details on the physical characteristics of the entrances are missing,M15,Physical theft of media,V32,Inadequate access control to the CED area,Potential
S2,"Confidential documents are stored in an archive constantly protected by armed guards, with three levels of biometric protection. The room that houses the archive is reinforced and burglar-proof.",The scenario is not sufficiently characterized to perform a preliminary analysis.,More,Details on the physical characteristics of the entrances are missing,M25,Sabotage,V32,Inadequate access control to the CED area,Potential
S3,The connection between the data center and the offices is made of fiber optics.,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,Details on data line protection are missing,M18,Interception and espionage,V1,Communication channels not adequately protected,Potential
S5,The system is installed on the third floor of a building without any special security controls,The described scenario presents at least one security threat.,Yes,The system is vulnerable to data theft/theft,M15,Physical theft of media,V32,Inadequate access control to the CED area,Real
S5,The system is installed on the third floor of a building without any special security controls,The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized physical access,M25,Sabotage,V32,Inadequate access control to the CED area,Real
S5,The system is installed on the third floor of a building without any special security controls,The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized physical access,M25,Sabotage,V33,Lack of access control to the CED area,Real
S6,There are no fire protection systems installed on the site,The described scenario presents at least one security threat.,Yes,The system is vulnerable to fires,M16,Fire,V12,Untested emergency procedures,Real
S6,There are no fire protection systems installed on the site,The described scenario presents at least one security threat.,Yes,The system is vulnerable to fires,M16,Fire,V26,Inadequate fire protection,Real
S6,There are no fire protection systems installed on the site,The described scenario presents at least one security threat.,Yes,The system is vulnerable to fires,M16,Fire,V28,Inadequate high temperature protection,Real
S7,A fire protection system with smoke detector and temperature control system is installed on the site,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,Details on the type of fire prevention system are missing,M16,Fire,V26,Inadequate fire protection,Potential
S7,A fire protection system with smoke detector and temperature control system is installed on the site,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,Details on the type of fire prevention system are missing,M16,Fire,V28,Inadequate high temperature protection,Potential
S9,A password is required to access the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,Details on password features are missing,M1,Queuing access,V8,Inadequate logical access control,Potential
S9,A password is required to access the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,Details on password features are missing,M5,Trojan Horse Attack,V9,Non-existent logical access procedures,Potential
S9,A password is required to access the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,Details on password features are missing,M6,Computer virus attack,V10,Incorrect input/output procedures,Potential
S9,A password is required to access the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,Details on password features are missing,M7,Logic bombs,V11,Errors in programs,Potential
S9,A password is required to access the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,Details on password features are missing,M21,Masking,V12,Untested emergency procedures,Potential
S9,A password is required to access the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,Details on password features are missing,M27,Violation of login procedures,V13,Lack of emergency procedures,Potential
S9,A password is required to access the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,Details on password features are missing,M28,Network worm,V14,Inadequate supervision,Potential
S10,Anyone can access the system,The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized physical access,M15,Physical theft of media,V32,Inadequate access control to the CED area,Real
S10,Anyone can access the system,The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized physical access,M25,Sabotage,V32,Inadequate access control to the CED area,Real
S10,Anyone can access the system,The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized physical access,M25,Sabotage,V33,Lack of access control to the CED area,Real
S10,Anyone can access the system,The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M1,Queuing access,V8,Inadequate logical access control,Real
S10,Anyone can access the system,The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M5,Trojan Horse Attack,V9,Non-existent logical access procedures,Real
S10,Anyone can access the system,The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M6,Computer virus attack,V9,Non-existent logical access procedures,Real
S10,Anyone can access the system,The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M7,Logic bombs,V9,Non-existent logical access procedures,Real
S10,Anyone can access the system,The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M28,Network worm,V9,Non-existent logical access procedures,Real
S11,"Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office",The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M1,Queuing access,V8,Inadequate logical access control,Real
S11,"Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office",The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M5,Trojan Horse Attack,V8,Inadequate logical access control,Real
S11,"Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office",The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M6,Computer virus attack,V8,Inadequate logical access control,Real
S11,"Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office",The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M7,Logic bombs,V8,Inadequate logical access control,Real
S11,"Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office",The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M21,Masking,V8,Inadequate logical access control,Real
S11,"Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office",The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M27,Violation of login procedures,V8,Inadequate logical access control,Real
S11,"Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office",The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M28,Network worm,V8,Inadequate logical access control,Real
S13,"The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.",The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M1,Queuing access,V8,Inadequate logical access control,Real
S13,"The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.",The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M5,Trojan Horse Attack,V9,Non-existent logical access procedures,Real
S13,"The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.",The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M6,Computer virus attack,V9,Non-existent logical access procedures,Real
S13,"The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.",The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M7,Logic bombs,V9,Non-existent logical access procedures,Real
S13,"The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.",The described scenario presents at least one security threat.,Yes,The system is vulnerable to data theft/theft,M26,Unnoticed data theft,V7,Untested software applications,Real
S13,"The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.",The described scenario presents at least one security threat.,Yes,The system is vulnerable to data theft/theft,M26,Unnoticed data theft,V14,Inadequate supervision,Real
S13,"The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.",The described scenario presents at least one security threat.,Yes,The system is vulnerable to data theft/theft,M26,Unnoticed data theft,V17,Misuse of information by end users,Real
